idx,rssi
798,53
799,55
800,51
801,50
802,54
803,58
804,48
805,64
806,56
807,48
808,44
809,49
810,48
811,48
812,51
813,44
814,46
815,43
816,45
817,53
818,43
819,51
820,42
821,50
822,41
823,44
824,45
825,45
826,39
827,47
828,47
829,47
830,44
831,46
832,43
833,47
834,47
835,41
836,41
837,51
838,44
839,48
840,42
841,36
842,35
843,37
844,42
845,40
846,37
847,38
848,39
849,38
850,38
851,39
852,38
853,41
854,41
855,39
856,36
857,37
858,37
859,38
860,40
861,39
862,38
863,39
864,53
865,43
866,38
867,43
868,43
869,36
870,39
871,50
872,43
873,37
874,35
875,30
876,30
877,29
878,25
879,32
880,32
881,31
882,32
883,31
884,32
885,43
886,44
887,32
888,34
889,44
890,46
891,39
892,35
893,38
894,41
895,48
896,39
897,36
898,38
899,37
900,34
901,35
902,33
903,35
904,34
905,34
906,36
907,37
908,39
909,44
910,38
911,42
912,48
913,38
914,34
915,30
916,35
917,46
918,38
919,38
920,41
921,33
922,37
923,34
924,34
925,36
926,30
927,33
928,32
929,33
930,32
931,35
932,36
933,38
934,37
935,32
936,33
937,29
938,33
939,36
940,34
941,40
942,39
943,37
944,46
945,35
946,34
947,35
948,41
949,60
950,43
951,38
952,38
953,37
954,36
955,40
956,33
957,27
958,30
959,37
960,44
961,41
962,31
963,39
964,37
965,36
966,34
967,42
968,41
969,29
970,30
971,31
972,27
973,27
974,34
975,26
976,41
977,40
978,42
979,22
980,27
981,31
982,26
983,24
984,32
985,25
986,27
987,19
988,27
989,21
990,18
991,25
992,26
993,18
994,18
995,22
996,20
997,33
998,17
999,17
1000,17
1001,17
1002,18
1003,13
1004,12
1005,16
1006,17
1007,17
1008,17
1009,21
1010,23
1011,26
1012,18
1013,21
1014,20
1015,20
1016,19
1017,17
1018,21
1019,17
1020,16
1021,17
1022,19
1023,17
1024,18
1025,19
1026,22
1027,26
1028,33
1029,23
1030,33
1031,29
1032,48
1033,27
1034,26
1035,25
1036,38
1037,37
1038,23
1039,19
1040,19
1041,16
1042,16
1043,17
1044,19
1045,23
1046,30
1047,35
1048,36
1049,29
1050,38
1051,36
1052,31
1053,32
1054,29
1055,27
1056,23
1057,25
1058,28
1059,25
1060,22
1061,25
1062,24
1063,36
1064,40
1065,32
1066,37
1067,36
1068,32
1069,30
1070,28
1071,26
1072,24
1073,19
1074,21
1075,23
1076,22
1077,19
1078,18
1079,21
1080,20
1081,26
1082,34
1083,44
1084,30
1085,31
1086,22
1087,29
1088,29
1089,31
1090,29
1091,29
1092,27
1093,28
1094,29
1095,40
1096,41
1097,35
1098,30
1099,56
1100,32
1101,36
1102,31
1103,33
1104,38
1105,29
1106,33
1107,29
1108,31
1109,42
1110,37
1111,29
1112,25
1113,26
1114,30
1115,27
1116,38
1117,32
1118,28
1119,34
1120,31
1121,27
1122,23
1123,30
1124,40
1125,31
1126,28
1127,26
1128,26
1129,33
1130,33
1131,36
1132,28
1133,29
1134,28
1135,31
1136,33
1137,33
1138,32
1139,33
1140,33
1141,31
1142,42
1143,42
1144,33
1145,37
1146,31
1147,35
1148,34
1149,31
1150,29
1151,30
1152,39
1153,33
1154,37
1155,40
1156,29
1157,31
1158,41
1159,26
1160,39
1161,33
1162,37
1163,26
1164,22
1165,22
1166,29
1167,26
1168,34
1169,35
1170,43
1171,34
1172,33
1173,36
1174,31
1175,30
1176,34
1177,26
1178,27
1179,22
1180,32
1181,29
1182,23
1183,23
1184,25
1185,27
1186,26
1187,21
1188,19
1189,15
1190,16
