idx,rssi
798,43
799,56
800,55
801,49
802,51
803,52
804,48
805,46
806,52
807,50
808,49
809,39
810,47
811,61
812,45
813,42
814,45
815,43
816,44
817,46
818,44
819,46
820,42
821,44
822,47
823,43
824,41
825,46
826,39
827,48
828,45
829,49
830,46
831,43
832,44
833,51
834,50
835,45
836,40
837,42
838,49
839,44
840,49
841,37
842,36
843,37
844,40
845,40
846,38
847,35
848,38
849,38
850,39
851,38
852,38
853,38
854,42
855,40
856,35
857,37
858,36
859,36
860,38
861,40
862,35
863,45
864,39
865,39
866,44
867,37
868,46
869,45
870,35
871,48
872,41
873,33
874,37
875,33
876,31
877,29
878,27
879,26
880,35
881,27
882,33
883,28
884,33
885,35
886,40
887,33
888,32
889,36
890,52
891,39
892,37
893,34
894,38
895,42
896,43
897,36
898,37
899,37
900,33
901,33
902,35
903,33
904,33
905,34
906,34
907,35
908,37
909,44
910,40
911,39
912,41
913,42
914,37
915,32
916,30
917,41
918,40
919,36
920,39
921,33
922,34
923,38
924,35
925,43
926,31
927,27
928,36
929,33
930,32
931,32
932,42
933,33
934,32
935,34
936,28
937,30
938,32
939,33
940,35
941,36
942,40
943,40
944,43
945,37
946,31
947,38
948,38
949,42
950,47
951,36
952,41
953,34
954,38
955,37
956,32
957,33
958,28
959,33
960,38
961,40
962,31
963,32
964,36
965,51
966,32
967,32
968,37
969,30
970,35
971,29
972,30
973,36
974,28
975,30
976,40
977,34
978,31
979,24
980,33
981,39
982,28
983,25
984,31
985,29
986,37
987,19
988,27
989,18
990,17
991,22
992,32
993,19
994,18
995,20
996,21
997,21
998,15
999,17
1000,17
1001,18
1002,20
1003,17
1004,11
1005,12
1006,17
1007,16
1008,18
1009,17
1010,26
1011,20
1012,19
1013,19
1014,20
1015,21
1016,20
1017,19
1018,21
1019,17
1020,16
1021,14
1022,19
1023,19
1024,16
1025,19
1026,21
1027,26
1028,39
1029,30
1030,26
1031,30
1032,28
1033,30
1034,26
1035,24
1036,27
1037,40
1038,22
1039,20
1040,18
1041,20
1042,19
1043,16
1044,17
1045,23
1046,25
1047,27
1048,38
1049,34
1050,27
1051,37
1052,30
1053,35
1054,33
1055,29
1056,21
1057,22
1058,32
1059,23
1060,22
1061,31
1062,21
1063,43
1064,34
1065,38
1066,32
1067,31
1068,40
1069,29
1070,25
1071,27
1072,25
1073,22
1074,18
1075,22
1076,24
1077,21
1078,16
1079,19
1080,22
1081,23
1082,30
1083,41
1084,36
1085,30
1086,26
1087,24
1088,29
1089,28
1090,43
1091,26
1092,26
1093,33
1094,26
1095,38
1096,44
1097,41
1098,33
1099,30
1100,50
1101,34
1102,30
1103,31
1104,41
1105,26
1106,31
1107,30
1108,28
1109,33
1110,34
1111,33
1112,24
1113,36
1114,31
1115,37
1116,34
1117,32
1118,49
1119,33
1120,27
1121,30
1122,23
1123,26
1124,28
1125,35
1126,26
1127,27
1128,30
1129,26
1130,39
1131,32
1132,27
1133,32
1134,27
1135,27
1136,33
1137,30
1138,34
1139,30
1140,33
1141,37
1142,44
1143,35
1144,31
1145,37
1146,28
1147,33
1148,32
1149,27
1150,27
1151,40
1152,35
1153,30
1154,33
1155,42
1156,34
1157,26
1158,29
1159,26
1160,22
1161,37
1162,38
1163,35
1164,21
1165,21
1166,24
1167,32
1168,28
1169,26
1170,36
1171,27
1172,25
1173,34
1174,39
1175,31
1176,34
1177,24
1178,32
1179,24
1180,22
1181,43
1182,28
1183,25
1184,24
1185,28
1186,49
1187,19
1188,26
1189,16
1190,16
1191,15
1192,15
1193,16
1194,17
1195,18
1196,23
1197,20
1198,16
1199,14
1200,15
1201,16
1202,17
1203,21
1204,24
1205,31
1206,22
1207,23
1208,25
1209,36
1210,35
1211,27
1212,28
1213,27
1214,29
1215,26
1216,21
1217,19
1218,24
1219,23
1220,30
1221,26
1222,20
1223,19
1224,19
1225,21
1226,25
1227,27
1228,25
1229,24
1230,28
1231,32
1232,34
1233,27
1234,29
1235,27
1236,33
1237,43
1238,40
1239,40
1240,35
1241,28
1242,29
1243,34
1244,34
1245,43
1246,40
1247,37
1248,36
1249,45
1250,45
1251,37
1252,36
1253,32
1254,36
1255,37
1256,35
1257,42
1258,38
1259,43
1260,41
1261,38
1262,38
1263,39
1264,38
1265,35
1266,39
1267,45
1268,45
1269,41
1270,39
1271,44
1272,44
1273,43
1274,43
1275,44
1276,49
1277,53
1278,44
1279,43
1280,49
1281,42
1282,46
1283,57
1284,45
1285,43
1286,45
1287,42
1288,38
1289,40
1290,37
1291,34
1292,59
1293,37
1294,44
1295,42
1296,43
1297,41
1298,34
1299,28
1300,30
1301,31
1302,27
1303,42
1304,30
1305,35
1306,37
1307,37
1308,38
1309,26
1310,32
1311,31
1312,33
1313,36
1314,31
1315,32
1316,32
1317,35
1318,37
1319,37
1320,37
1321,32
1322,36
1323,35
1324,38
1325,37
1326,39
1327,35
