idx,rssi
532,55.0
533,59.0
534,54.0
535,54.0
536,54.0
537,55.0
538,59.0
539,55.0
540,55.0
541,58.0
542,58.0
543,54.0
544,57.0
545,58.0
546,56.0
547,59.0
548,56.0
549,59.0
550,60.0
551,55.0
552,62.0
553,59.0
554,59.0
555,58.0
556,57.0
557,56.0
558,59.0
559,63.0
560,57.0
561,60.0
562,57.0
563,56.0
564,60.0
565,60.0
566,59.0
567,61.0
568,59.0
569,61.0
570,59.0
571,58.0
572,58.0
573,55.0
574,55.0
575,60.0
576,57.0
577,57.0
578,59.0
579,60.0
580,52.0
581,62.0
582,58.0
583,60.0
584,63.0
585,59.0
586,56.0
587,70.0
588,64.0
589,65.0
590,66.0
591,63.0
592,66.0
593,60.0
594,56.0
595,65.0
596,63.0
597,59.0
598,62.0
599,62.0
600,65.0
601,61.0
602,63.0
603,57.0
604,59.0
605,60.0
606,58.0
607,62.0
608,62.0
609,63.0
610,64.0
611,58.0
612,63.0
613,66.0
614,62.0
615,63.0
616,67.0
617,58.0
618,57.0
619,62.0
620,60.0
621,67.0
622,66.0
623,59.0
624,56.0
625,62.0
626,67.0
627,60.0
628,65.0
629,60.0
630,65.0
631,61.0
632,60.0
633,65.0
634,61.0
635,64.0
636,62.0
637,64.0
638,64.0
639,68.0
640,64.0
641,65.0
642,66.0
643,65.0
644,65.0
645,66.0
646,63.0
647,63.0
648,67.0
649,69.0
650,65.0
651,67.0
652,62.0
653,62.0
654,67.0
655,68.0
656,68.0
657,68.0
658,66.0
659,66.0
660,66.0
661,65.0
662,63.0
663,68.0
664,66.0
665,67.0
666,67.0
667,71.0
668,68.0
669,63.0
670,63.0
671,66.0
672,69.0
673,68.0
674,66.0
675,64.0
676,69.0
677,64.0
678,66.0
679,65.0
680,66.0
681,66.0
682,68.0
683,65.0
684,63.0
685,64.0
686,68.0
687,66.0
688,63.0
689,67.0
690,67.0
691,63.0
692,71.0
693,67.0
694,71.0
695,66.0
696,67.0
697,62.0
698,68.0
699,63.0
700,67.0
701,70.0
702,67.0
703,69.0
704,71.0
705,67.0
706,67.0
707,69.0
708,62.0
709,72.0
710,67.0
711,75.0
712,72.0
713,67.0
714,69.0
715,72.0
716,65.0
717,66.0
718,71.0
719,68.0
720,71.0
721,71.0
722,66.0
723,70.0
724,72.0
725,69.0
726,71.0
727,67.0
728,67.0
729,69.0
730,68.0
731,69.0
732,70.0
733,71.0
734,70.0
735,67.0
736,70.0
737,71.0
738,71.0
739,66.0
740,71.0
741,68.0
742,67.0
743,68.0
744,70.0
745,71.0
746,74.0
747,73.0
748,69.0
749,72.0
750,76.0
751,77.0
752,73.0
753,74.0
754,72.0
755,72.0
756,74.0
757,71.0
758,71.0
759,68.0
760,70.0
761,71.0
762,71.0
763,69.0
764,73.0
765,78.0
766,82.0
767,75.0
768,75.0
769,77.0
770,78.0
771,77.0
772,77.0
773,87.0
774,76.0
775,79.0
776,76.0
777,76.0
778,73.0
779,74.0
780,78.0
781,73.0
782,72.0
783,76.0
784,74.0
785,77.0
786,74.0
787,70.0
788,71.0
789,75.0
790,73.0
791,75.0
792,74.0
793,71.0
794,75.0
795,74.0
796,78.0
797,70.0
798,73.0
799,73.0
800,71.0
801,73.0
802,73.0
803,76.0
804,71.0
805,72.0
806,69.0
807,75.0
808,72.0
809,69.0
810,78.0
811,71.0
812,69.0
813,77.0
814,76.0
815,74.0
816,76.0
817,75.0
818,76.0
819,80.0
820,76.0
821,76.0
822,79.0
823,74.0
824,79.0
825,77.0
826,79.0
827,72.0
828,78.0
829,74.0
830,78.0
831,80.0
832,76.0
833,74.0
834,77.0
835,79.0
836,78.0
837,77.0
838,80.0
839,80.0
840,76.0
841,76.0
842,71.0
843,77.0
844,80.0
845,77.0
846,78.0
847,79.0
848,77.0
849,79.0
850,80.0
851,80.0
852,75.0
853,80.0
854,74.0
855,77.0
856,80.0
857,79.0
858,74.0
859,81.0
860,82.0
861,74.0
862,83.0
863,76.0
864,83.0
865,75.0
866,79.0
867,75.0
868,77.0
869,79.0
870,83.0
871,77.0
872,83.0
873,83.0
874,79.0
875,83.0
876,77.0
877,84.0
