idx,rssi
532,55.0
533,59.0
534,59.0
535,61.0
536,58.0
537,59.0
538,58.0
539,64.0
540,58.0
541,59.0
542,61.0
543,64.0
544,57.0
545,60.0
546,58.0
547,59.0
548,60.0
549,59.0
550,63.0
551,58.0
552,60.0
553,57.0
554,59.0
555,59.0
556,56.0
557,61.0
558,61.0
559,58.0
560,59.0
561,48.0
562,61.0
563,59.0
564,62.0
565,57.0
566,60.0
567,61.0
568,59.0
569,58.0
570,62.0
571,63.0
572,61.0
573,61.0
574,62.0
575,62.0
576,63.0
577,61.0
578,60.0
579,63.0
580,65.0
581,59.0
582,64.0
583,62.0
584,60.0
585,60.0
586,62.0
587,60.0
588,60.0
589,56.0
590,61.0
591,59.0
592,59.0
593,60.0
594,62.0
595,61.0
596,63.0
597,57.0
598,57.0
599,60.0
600,59.0
601,58.0
602,61.0
603,61.0
604,62.0
605,59.0
606,62.0
607,63.0
608,63.0
609,63.0
610,60.0
611,64.0
612,61.0
613,62.0
614,61.0
615,57.0
616,60.0
617,70.0
618,62.0
619,67.0
620,66.0
621,61.0
622,63.0
623,62.0
624,64.0
625,60.0
626,64.0
627,67.0
628,60.0
629,68.0
630,69.0
631,66.0
632,63.0
633,65.0
634,72.0
635,61.0
636,60.0
637,60.0
638,64.0
639,60.0
640,64.0
641,65.0
642,63.0
643,62.0
644,68.0
645,64.0
646,64.0
647,62.0
648,61.0
649,62.0
650,61.0
651,64.0
652,61.0
653,65.0
654,62.0
655,66.0
656,63.0
657,66.0
658,64.0
659,63.0
660,64.0
661,64.0
662,61.0
663,69.0
664,62.0
665,67.0
666,66.0
667,65.0
668,66.0
669,69.0
670,65.0
671,61.0
672,63.0
673,66.0
674,65.0
675,67.0
676,69.0
677,65.0
678,67.0
679,61.0
680,69.0
681,68.0
682,74.0
683,70.0
684,70.0
685,67.0
686,65.0
687,71.0
688,70.0
689,73.0
690,65.0
691,65.0
692,69.0
693,71.0
694,62.0
695,64.0
696,67.0
697,72.0
698,64.0
699,68.0
700,70.0
701,71.0
702,70.0
703,67.0
704,71.0
705,68.0
706,69.0
707,69.0
708,68.0
709,68.0
710,66.0
711,66.0
712,68.0
713,71.0
714,74.0
715,67.0
716,65.0
717,68.0
718,66.0
719,68.0
720,70.0
721,71.0
722,65.0
723,71.0
724,68.0
725,67.0
726,71.0
727,73.0
728,68.0
729,73.0
730,72.0
731,69.0
732,76.0
733,70.0
734,73.0
735,68.0
736,69.0
737,71.0
738,70.0
739,74.0
740,71.0
741,74.0
742,72.0
743,69.0
744,70.0
745,68.0
746,66.0
747,66.0
748,73.0
749,73.0
750,70.0
751,71.0
752,69.0
753,68.0
754,72.0
755,72.0
756,72.0
757,72.0
758,73.0
759,75.0
760,72.0
761,72.0
762,72.0
763,73.0
764,77.0
765,80.0
766,69.0
767,68.0
768,73.0
769,69.0
770,68.0
771,75.0
772,72.0
773,67.0
774,73.0
775,65.0
776,73.0
777,74.0
778,71.0
779,73.0
780,70.0
781,72.0
782,74.0
783,74.0
784,75.0
785,73.0
786,78.0
787,74.0
788,76.0
789,75.0
790,77.0
791,74.0
792,74.0
793,89.0
794,72.0
795,71.0
796,75.0
797,79.0
798,77.0
799,80.0
800,77.0
801,75.0
802,79.0
803,65.0
804,79.0
805,77.0
806,79.0
807,79.0
808,79.0
809,77.0
810,75.0
811,82.0
812,76.0
813,74.0
814,81.0
815,78.0
816,77.0
817,77.0
818,73.0
819,76.0
820,77.0
821,77.0
822,70.0
823,78.0
824,76.0
825,77.0
826,73.0
827,61.0
828,80.0
829,75.0
830,78.0
831,77.0
832,79.0
833,82.0
834,79.0
835,79.0
836,75.0
837,77.0
838,79.0
839,82.0
840,74.0
841,80.0
842,77.0
843,77.0
844,75.0
845,81.0
846,79.0
847,80.0
848,75.0
849,76.0
850,79.0
851,75.0
852,81.0
853,80.0
854,80.0
855,78.0
856,81.0
857,80.0
858,82.0
859,80.0
860,76.0
861,81.0
862,74.0
863,80.0
864,81.0
865,82.0
866,79.0
867,83.0
868,80.0
869,81.0
870,77.0
871,82.0
872,78.0
873,77.0
874,79.0
875,76.0
876,82.0
877,77.0
